name,ra_hours_decimal,dec_deg_decimal
Gaia21fji,21.0661389,50.2445
IRAS 23226-3843,23.4233889,-38.4469722
1RXS_J173546.9-302859,17.5964167,-30.4828889
Gaia24csq,19.1140278,-26.9395833
AT2025jtq,0.9588333,-17.3631667
Gaia24dgn,17.6013,-51.8881
CD-43_14304,21.0018,-42.6458
AT2025ozk,18.5035,-21.2351
AT2025nwy,21.2942,-22.7908
AT2025jtq,0.95883,-17.3632
AT2025mlr,23.3743,-38.9511
AT2025asm,20.0426,-56.0663
ASASSN-25db,17.3092,-32.1086
LS I +61 302,2.6754722,61.2293333
AT2025uni,17.7582778,-29.3159722
HE0413_4031,4.2540278,-40.39475
BD55 2906,22.1569444,55.7582222
Gaia24amo,16.6099167,-53.7499167
AT 2025nlr,15.13425,-40.1415556
Gaia19dbf,11.9133056,-64.4918611
ASASSN-25cd,18.5313333,-28.8075278
