Target name,Filename,DATE-OBS,JD,Filter,EXPTIME,OBSERVER,RA_hours,RA_min,RA_sec,DEC_deg,DEC_min,DEC_sec,RA_hours_decimal,DEC_deg_decimal,Match_sep_arcmin,Cat_RA_hours_decimal,Cat_DEC_deg_decimal
NO MATCH,054207m670107_20250924_170037_0_ezl7zz_e_cal.fit,2025-09-24T16:59:31.19,2460943.207999884,BBand,45.0,Slooh.com Australia One Half Meter Telescope,5,42,7,-67,1,7,5.701944,-67.018611,,,
NO MATCH,054207m670107_20250924_170209_1_vmnuzn_v_cal.fit,2025-09-24T17:01:02.38,2460943.209055324,VBand,45.0,Slooh.com Australia One Half Meter Telescope,5,42,7,-67,1,7,5.701944,-67.018611,,,
NO MATCH,054207m670107_20250924_170328_2_5qgh0j_d_cal.fit,2025-09-24T17:02:22.12,2460943.2099782405,RBand,45.0,Slooh.com Australia One Half Meter Telescope,5,42,7,-67,1,7,5.701944,-67.018611,,,
NO MATCH,054207m670107_20250924_180502_0_cmvepl_e_cal.fit,2025-09-24T18:03:57.49,2460943.252748727,BBand,45.0,Slooh.com Australia One Half Meter Telescope,5,42,7,-67,1,7,5.701944,-67.018611,,,
NO MATCH,054207m670107_20250924_180631_1_efj7ym_v_cal.fit,2025-09-24T18:05:27.00,2460943.253784722,VBand,45.0,Slooh.com Australia One Half Meter Telescope,5,42,7,-67,1,7,5.701944,-67.018611,,,
NO MATCH,054207m670107_20251008_042447_0_rjwhd2_v_cal.fit,2025-10-08T04:23:47.22,2460956.6831854167,V-Band,45.0,Slooh.com Chile Two Wide-Field Telescope,5,42,7,-67,1,7,5.701944,-67.018611,,,
NO MATCH,054207m670107_20251008_042617_1_uisszm_d_cal.fit,2025-10-08T04:25:17.29,2460956.6842278936,Rc-Band,45.0,Slooh.com Chile Two Wide-Field Telescope,5,42,7,-67,1,7,5.701944,-67.018611,,,
NO MATCH,054207m670107_20251008_042729_2_zoazag_i_cal.fit,2025-10-08T04:26:29.50,2460956.6850636574,Ic-Band,45.0,Slooh.com Chile Two Wide-Field Telescope,5,42,7,-67,1,7,5.701944,-67.018611,,,
NO MATCH,180447m325315_20250922_111936_0_dt628o_e_cal.fit,2025-09-22T11:18:34.42,2460940.971231713,BBand,45.0,Slooh.com Australia One Half Meter Telescope,18,4,47,-32,53,15,18.079722,-32.8875,,,
NO MATCH,180447m325315_20250922_112101_1_gln08t_v_cal.fit,2025-09-22T11:19:59.21,2460940.9722130788,VBand,45.0,Slooh.com Australia One Half Meter Telescope,18,4,47,-32,53,15,18.079722,-32.8875,,,
NO MATCH,180447m325315_20250922_112214_2_hs4bk7_d_cal.fit,2025-09-22T11:21:12.23,2460940.9730582177,RBand,45.0,Slooh.com Australia One Half Meter Telescope,18,4,47,-32,53,15,18.079722,-32.8875,,,
BD55 2906,220925p554530_20250831_010049_0_549bxk_l_cal.fit,2025-08-31T00:59:53.61,2460918.5415927083,Clear,50.0,Slooh.com Canary Two Ultra-Wide-Field Telescope,22,9,25,55,45,30,22.156944,55.758333,0.007,22.156944,55.758222
BD55 2906,220925p554530_20250831_010054_0_1kmu3j_e_cal.fit,2025-08-31T00:59:57.87,2460918.541642014,B-Band,45.0,Slooh.com Canary Two Wide-Field Telescope,22,9,25,55,45,30,22.156944,55.758333,0.007,22.156944,55.758222
